Protocol,Pool Address,Asset,APY,Base APY,Reward APY,TVL ($),Reward Tokens,APY (1D),APY (7D),APY (30D),Image,App Link
raydium-amm,98iRASsTVPhA8W7CyRy3TgqAYfjwCaZxMAyRNadnJTKn,SOL-USDT-USDC,39.19,39.19,0.0,12040,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,B4r43w87hnKykZNoe8iMctPt7qMfcX9MJeoH7M1Awuu,ETH-USDC,49.6,49.6,0.0,12040,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,DvWGMLhDJDJ7vS5xhgcD5g6RNUSpmjzFt7HqckK4T4pP,LUNC-USDC,41.69,41.69,0.0,12039,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,3kQo5U7PjhDdeJ8d2tdj7gYvxBme4bYvuCojRewv8pQS,WSOL-OUTDOTETH,7.56,7.56,0.0,12024,,-3.6,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
orca-dex,,UAI-USDC,0.00243,0.00243,0.0,11997,,0.00243,0.00243,0.00243,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
orca-dex,,USDT-TRC0-USDC,0.00278,0.00278,0.0,11997,,0.00278,0.00278,0.00278,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
orca-dex,,USDC-TRUST,0.00243,0.00243,0.0,11997,,0.00243,0.00243,0.00243,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
orca-dex,,MMT-USDC,0.00243,0.00243,0.0,11997,,0.00243,0.00243,0.00243,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
raydium-amm,4t5ESMXQRrqWCfqw2TDXZtG82mcSRbkug9YwoF3QJ19x,STONK-WSOL,7.11,7.11,0.0,11994,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,D2JV33jagHpoVrFLj98VoJGYT2oVdnYzLgM7hced9wDF,WSOL-WHALE,11.0,11.0,0.0,11989,,3.57,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,7hkAEDnZdoz4m6BhVmhu6Ay2TiJw5q39skT9tePKBS1z,WSOL-CREATE,22.17,22.17,0.0,11981,,10.03,5.43,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
omnipair,,SOL-JTO,3.8049,3.8049,0.0,11967,,-0.45181,-2.78082,-12.67262,https://icons.llamao.fi/icons/protocols/omnipair,https://www.omnipair.fi/
raydium-amm,5HuMBYVCdEuUFioehHSxg6VcKvxnkYjiFEiWjt9aBMS4,WSOL-XAIM,37.42,37.42,0.0,11958,,0.0,-17.15,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
orca-dex,,AR-USDC,0.00244,0.00244,0.0,11944,,0.00244,0.00244,0.00244,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
raydium-amm,AHVFJELUn1AAt34ssGG1gEnQSPTX5CUYGkeCBQVHqieq,WSOL-PAGER,5.2,5.2,0.0,11943,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
orca-dex,,MET-USDC,19.41748,19.41748,0.0,11926,,-0.63343,-10.98589,-30.41347,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
raydium-amm,3nYtfzvrkGWUdZi9JRdQbVfKd3Nkc3NBnEFrGEhBR7CL,WSOL-ANSEM,15.21,15.21,0.0,11923,,6.97,6.52,-972.55,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,GJFaK88pqTfAkY7LtygL2X19GM4J9yaPikd5kgL8BTbp,WSOL-PAC,7.44,7.44,0.0,11923,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,2qY19HB2FjkHV1JeQ6obWUC1Wpf5mw35jXD96x8VqvmD,DAO-WSOL,10.38,10.38,0.0,11920,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
orca-dex,,QNT-USDC,0.00245,0.00245,0.0,11909,,0.00245,-0.019,0.00245,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
orca-dex,,DCR-USDC,0.00245,0.00245,0.0,11898,,0.00245,0.00245,0.00245,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
orca-dex,,IOTA-USDC,0.00245,0.00245,0.0,11897,,0.00245,0.00245,0.00245,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
orca-dex,,USDC-MNT,0.00245,0.00245,0.0,11897,,0.00245,0.00245,0.00245,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
orca-dex,,ACT-USDC,0.00245,0.00245,0.0,11897,,0.00245,0.00245,0.00245,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
orca-dex,,ICP-USDC,0.00245,0.00245,0.0,11897,,0.00245,0.00245,0.00245,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
orca-dex,,DASH-USDC,0.00245,0.00245,0.0,11897,,0.00245,0.00245,0.00245,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
orca-dex,,ETC-USDC,0.00246,0.00246,0.0,11897,,0.00246,0.00246,0.00246,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
orca-dex,,USDC-ALCX,0.00245,0.00245,0.0,11897,,0.00245,0.00245,0.00245,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
orca-dex,,OG-USDC,0.00245,0.00245,0.0,11897,,0.00245,0.00245,0.00245,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
orca-dex,,VET-USDC,0.00245,0.00245,0.0,11897,,0.00245,0.00245,0.00245,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
raydium-amm,5xm6QUDxRyMg3Gx59CxXB6VZnRKs4bVu44DS6DzZr3Bp,UNHX-USDC,15.56,15.56,0.0,11892,,0.0,0.0,-20.35,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,35T6ov4FyCtZSP53zrt3FzyBWTpMaDqyqfw8UEdxFnw8,WSOL-CATF,4.67,4.67,0.0,11839,,0.0,-27.96,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,2v5Ueu8PZ9bRg5qce5BT1hNRo6jJEdheiS1NCr4pohBR,WSOL-SOMETHING,3.51,3.51,0.0,11824,,0.0,-244.02,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
kamino-lend,,USDG,4.20796,4.20796,0.0,11819,,1.70737,1.59298,0.0,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
raydium-amm,FErC1cX1tH2mGRpzfXpeAiNMe6Zu2zpQSeqteDAm9W49,BIO-$URO,6.48,6.48,0.0,11813,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,FDGthz5vEuqGRy6rdxLUabJh4VvApTscdn7rmDHEBvpm,WLKN-USDC,4.66,4.66,0.0,11785,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,8oJJYn1Vcp2TYvpmiTBCW5qm49ePw6FCR5ncgS3wJjAt,WSOL-UPTOBER,10.13,10.13,0.0,11758,,-35.97,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,H8sKhax6yiM4EDdLpwTdyEywJRJMvTQvCvHRcB8Cc2rG,WSOL-CRIOLA,353.91,353.91,0.0,11757,,183.66,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,2jvvmbSSSX9Kna9sg9djWhvmj4raZA9vN47ntSDgzjbf,WSOL-LOLCAT,5.02,5.02,0.0,11754,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,7QG183Rvf2B7V8eDKbnSEt3Nog6B4SnW1dpFWTHmQWbv,WSOL-MORRISII,2.89,2.89,0.0,11730,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
kamino-liquidity,,DISABLED-WFRAGSOL-JTO,0.0,0.0,0.0,11719,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/kamino-liquidity,https://kamino.com/liquidity
kamino-liquidity,,W-JITOSOL,0.0,0.0,0.0,11707,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/kamino-liquidity,https://kamino.com/liquidity
