Protocol,Pool Address,Asset,APY,Base APY,Reward APY,TVL ($),Reward Tokens,APY (1D),APY (7D),APY (30D),Image,App Link
binance-staked-sol,,BNSOL,4.74432,4.74432,0.0,751046650,,0.00531,-0.09523,-0.32484,https://icons.llamao.fi/icons/protocols/binance-staked-sol,https://www.binance.com/en/solana-staking
jito-liquid-staking,,JITOSOL,5.14,5.14,0.0,735555598,,-0.03,-0.04,-0.32,https://icons.llamao.fi/icons/protocols/jito-liquid-staking,https://jito.network
blackrock-buidl,,BUIDL,3.55562,3.55562,0.0,653511207,,-0.00015,0.03673,0.04523,https://icons.llamao.fi/icons/protocols/blackrock-buidl,https://securitize.io/
jupiter-lend,,USDC,4.76249,4.06004,0.70245,434262798,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0.06241,0.70461,-0.36261,https://icons.llamao.fi/icons/protocols/jupiter-lend,https://jup.ag/?ref=f6y1ryr2snn3
jupiter-staked-sol,,JUPSOL,5.76559,5.76559,0.0,384207863,,-0.00352,-0.01609,0.19937,https://icons.llamao.fi/icons/protocols/jupiter-staked-sol,https://jup.ag/?ref=f6y1ryr2snn3
orca-dex,,BUTTCOIN-KINS,0.0,0.0,0.0,311681905,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
kamino-lend,,USDE,0.0,0.0,0.0,268656615,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
onre,,ONYC,11.64036,11.64036,0.0,247339570,,-0.00371,-0.02602,-0.11233,https://icons.llamao.fi/icons/protocols/onre,https://app.onre.finance
drift-staked-sol,,DSOL,5.58461,5.58461,0.0,207462456,,-0.00774,-0.03126,-0.26032,https://icons.llamao.fi/icons/protocols/drift-staked-sol,https://app.drift.trade
ondo-yield-assets,,USDY,3.55,3.55,0.0,181730879,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/ondo-yield-assets,https://ondo.finance
kamino-lend,,DSOL,0.0,0.0,0.0,180510221,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
marinade-liquid-staking,,MSOL,4.7899,4.7899,0.0,174703700,,0.05209,-2.91467,-0.02476,https://icons.llamao.fi/icons/protocols/marinade-finance,https://marinade.finance
hastra,,PRIME,4.79375,4.79375,0.0,167144576,,-0.05691,-0.74505,-0.87488,https://icons.llamao.fi/icons/protocols/hastra,https://hastra.io/
sanctum-infinity,,INF,5.72376,5.72376,0.0,150307091,,-0.02339,-0.11905,-0.17354,https://icons.llamao.fi/icons/protocols/sanctum-infinity,https://www.sanctum.so
kamino-lend,,PRIME,0.0,0.0,0.0,135824487,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
kamino-lend,,ONYC,0.0,0.0,0.0,129467949,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
phantom-sol,,PSOL,6.2024,6.2024,0.0,121893077,,-0.00361,-0.04106,0.15773,https://icons.llamao.fi/icons/protocols/phantom-sol,https://phantom.com/
doublezero-staked-sol,,DZSOL,4.87557,4.87557,0.0,111632553,,0.00057,-0.02023,-0.20282,https://icons.llamao.fi/icons/protocols/doublezero-staked-sol,https://doublezero.xyz/
jupiter-lend,,JLP,0.0,0.0,0.0,105678053,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/jupiter-lend,https://jup.ag/?ref=f6y1ryr2snn3
jpool,,JSOL,5.32021,5.32021,0.0,102107619,,-0.00859,-0.0163,-0.06901,https://icons.llamao.fi/icons/protocols/jpool,https://app.jpool.one
the-vault-liquid-staking,,VSOL,5.2484,5.2484,0.0,99252726,,-0.0167,-0.03408,-0.0301,https://icons.llamao.fi/icons/protocols/the-vault-liquid-staking,https://thevault.finance
raydium-amm,7YZ8QoZbH7y62wWnJ1rqRH99rLXJUUYeEDs8mwBt8n3p,AEON-USDC,0.01,0.01,0.0,90820818,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
bybit-staked-sol,,BBSOL,5.48,5.48,0.0,89549285,,0.04,0.16,0.08,https://icons.llamao.fi/icons/protocols/bybit-staked-sol,https://www.bybit.com/en/web3/staking/BybitSOL
jupiter-lend,,JUPSOL,0.0,0.0,0.0,84142027,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/jupiter-lend,https://jup.ag/?ref=f6y1ryr2snn3
jupiter-lend,,JUPUSD,5.32212,3.821,1.50112,69836571,JuprjznTrTSp2UFa3ZBUFgwdAmtZCq4MQCwysN55USD,-0.04154,0.11412,0.24905,https://icons.llamao.fi/icons/protocols/jupiter-lend,https://jup.ag/?ref=f6y1ryr2snn3
jupiter-lend,,WSOL,4.29962,4.29962,0.0,67715811,,0.01042,0.35397,-0.04173,https://icons.llamao.fi/icons/protocols/jupiter-lend,https://jup.ag/?ref=f6y1ryr2snn3
blazestake,,BSOL,5.20394,5.20394,0.0,66848551,,-0.00444,-0.00974,-0.12407,https://icons.llamao.fi/icons/protocols/blazestake,https://stake.solblaze.org/
helius-staked-sol,,HSOL,5.7081,5.7081,0.0,66475706,,-0.00095,-0.06116,-0.06715,https://icons.llamao.fi/icons/protocols/helius-staked-sol,https://www.helius.dev
kamino-lend,,JITOSOL,0.00126,0.00126,0.0,64770138,,-0.00344,-0.00367,0.00019,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
kamino-lend,,SYRUPUSDC,0.0,0.0,0.0,64243607,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
dfdv-staked-sol,,DFDVSOL,5.71598,5.71598,0.0,62677102,,-0.00872,-0.02334,-0.13845,https://icons.llamao.fi/icons/protocols/dfdv-staked-sol,https://defidevcorp.com/?tab=dfdvSOLcom
raydium-amm,6rgD7bmJM19XVPCA7EHKdymJ5mBBLJbETSc7sRJLskfJ,LUNC-USDC,0.03,0.03,0.0,56948286,,0.0,0.01,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
jagpool-staked-sol,,JAGSOL,4.43598,4.43598,0.0,56221428,,0.03395,0.17568,0.12724,https://icons.llamao.fi/icons/protocols/jagpool-staked-sol,https://www.jagpool.xyz/
raydium-amm,DNLWUXSP1m3YUya8hko1u2UWiCWwgB46fkx7j73VHLBJ,USDC-LUNC,0.02,0.02,0.0,53266414,,-0.01,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
stkesol-by-sol-strategies,,STKESOL,4.51433,4.51433,0.0,46344848,,-0.0423,0.07624,0.15038,https://icons.llamao.fi/icons/protocols/stkesol-by-sol-strategies,https://app.solstrategies.io
kamino-lend,,CBBTC,0.00511,0.00511,0.0,43854717,,0.00082,-0.00135,-0.06246,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
kamino-lend,,JLP,0.0,0.0,0.0,38714169,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
raydium-amm,4DzZG6Q1NHycKW1FRkDjhScp72EAfD2dck5GiBXFJFL3,BEAT-USDC,0.02,0.02,0.0,35405392,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
kamino-lend,,JUPSOL,0.00176,0.00176,0.0,26792723,,2e-05,2e-05,0.00131,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
orca-dex,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,SOL-USDC,57.63346,57.63346,0.0,26088912,,21.11145,10.51032,-78.7332,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
apollo-diversified-credit-securitize-fund,,ACRED,2.87925,2.87925,0.0,24843917,,-0.0837,-2.57761,-0.56409,https://icons.llamao.fi/icons/protocols/apollo-diversified-credit-securitize-fund,https://securitize.io/primary-market/apollo-diversified-credit-securitize-fund
kamino-lend,,USDG,2.40951,2.40951,0.0,22543847,,-0.09097,-0.20583,-2.13197,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
kamino-lend,,PT-USX-16SEP26,0.0,0.0,0.0,22248903,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
raydium-amm,6F7dEjwwwS6Z7nTexdts1QiKq77wn9sNBmXNTaRuNSKQ,USDC-XMR,0.08,0.08,0.0,21979209,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,DqSBzcjUJbkNXWxTDPdpoNjXrvRTShAeSFr8uy2BkeQu,USDC-XMR,0.08,0.08,0.0,21675824,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,5zJeYRgEZ84QRXWZcTcK6AjHracdTGeoPkhLdFwoHrJ7,USDC-XMR,0.03,0.03,0.0,21189317,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,GFs4MfLAm51axykiWBE6vT46Y1vRmDufzs2Eb7tj75zk,XMR-USDC,0.11,0.11,0.0,21087911,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,GEnqDnZmyNAEFJXTmaoy3ZjZix5Y6GapWrGHRozvEsoB,XMR-USDC,0.07,0.07,0.0,21081663,,0.0,0.07,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,61QhRm98sJ1EdsYYS8fZbFfdyB1vD8Jaw2qpD8Nf84GY,XMR-USDC,0.07,0.07,0.0,21064696,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
kamino-lend,,MSOL,0.00125,0.00125,0.0,20930399,,0.0,-0.00025,-0.00059,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
raydium-amm,5F9V3ryRMtsT7aRxcW8HaHe5TpbDtPWdNC1DAG9NCBRg,XMR-USDC,0.09,0.09,0.0,20476992,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
kamino-lend,,HSOL,0.0,0.0,0.0,20146343,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
orca-dex,9tXiuRRw7kbejLhZXtxDxYs2REe43uH2e7k1kocgdM9B,PYUSD-USDC,0.05824,0.05824,0.0,19555047,,-0.07242,0.01085,-0.40584,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
kamino-liquidity,,PYUSD-USDC,0.05031,0.05031,0.0,19549416,,-0.12984,0.02614,-1.00734,https://icons.llamao.fi/icons/protocols/kamino-liquidity,https://kamino.com/liquidity
orca-dex,9RqDTfwCx2SgxsvKpspQHc38HUo3B6hRd3oR9JR966Ps,USDG-USDC,0.06035,0.06035,0.0,18821701,,-0.03252,-0.64912,-0.06682,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
kamino-lend,,SOL,4.91291,4.91291,0.0,18620960,,0.33573,0.50072,0.4793,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
jupiter-lend,,USDT,3.29291,3.29291,0.0,17858716,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,0.0413,0.03098,0.46373,https://icons.llamao.fi/icons/protocols/jupiter-lend,https://jup.ag/?ref=f6y1ryr2snn3
save,,MSOL,0.0,0.0,0.0,17705066,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/save,https://www.save.finance/
kamino-lend,,PYUSD,2.44863,2.44863,0.0,17540429,,-0.0005,0.49839,0.40519,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
kamino-lend,,PST,0.0,0.0,0.0,16276129,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
jupiter-lend,,WSOL,4.29962,4.29962,0.0,16235628,So11111111111111111111111111111111111111112,0.01042,0.35397,-0.04173,https://icons.llamao.fi/icons/protocols/jupiter-lend,https://jup.ag/?ref=f6y1ryr2snn3
save,,BSOL,0.0,0.0,0.0,15221383,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/save,https://www.save.finance/
kamino-lend,,JITOSOL,0.00018,0.00018,0.0,15205918,,0.0,2e-05,2e-05,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
jupiter-lend,,WSOL,4.29962,4.29962,0.0,14778520,,0.01042,0.35397,-0.04173,https://icons.llamao.fi/icons/protocols/jupiter-lend,https://jup.ag/?ref=f6y1ryr2snn3
kamino-liquidity,,USDG-USDC,0.0,0.0,0.0,14640289,,-0.02717,-0.05055,-0.23177,https://icons.llamao.fi/icons/protocols/kamino-liquidity,https://kamino.com/liquidity
kamino-lend,,VSOL,0.0,0.0,0.0,14500401,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
vaneck-treasury-fund,,VBILL,3.49037,3.49037,0.0,13899491,,0.0,0.03776,-0.03778,https://icons.llamao.fi/icons/protocols/vaneck-treasury-fund,https://securitize.io/primary-market/vaneck-vbill
hylo-lsts,,HYLOSOL,6.17377,6.17377,0.0,13812913,,-0.00155,0.02282,0.14059,https://icons.llamao.fi/icons/protocols/hylo-lsts,https://hylo.so/leverage
credix,,USDC,0.04468,0.04468,0.0,13477777,,0.0,-0.11496,-0.07026,https://icons.llamao.fi/icons/protocols/credix,https://credix.finance
kamino-lend,,XBTC,0.00078,0.00078,0.0,13376748,,-0.01413,-0.01222,-0.02748,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
raydium-amm,AgFnRLUScRD2E4nWQxW73hdbSN7eKEUb2jHX7tx9YTYc,OLDSLERF-WSOL,0.01,0.01,0.0,12450267,,0.0,0.01,-0.01,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,HpgV2jnzgrGfrZjeZGkHgTnEgRFAhtzCVuk3BRFTFJwk,USDC-TRX,0.74,0.74,0.0,12167391,,-0.18,-0.02,-1.15,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,5EgCcjkuE42YyTZY4QG8qTioUwNh6agTvJuNRyEqcqV1,SMOLE-WSOL,0.01,0.01,0.0,12108504,,-0.01,-0.01,-0.01,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
kamino-lend,,FWDI,0.0,0.0,0.0,12000797,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
raydium-amm,64VPkzjZ6BkeDTKii2LKUDHb57iS7DHoL8vdJ7ChKM5A,USDC-ECR,0.14,0.14,0.0,11440904,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,5KZH6Jh9WVUpuD3CGC1NVU2K4r7AhwHtenLbFB8LdQyt,ECR-USDC,0.09,0.09,0.0,11316507,,0.07,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,4UYs2EcKdHn4n3eKTP7qMPjVUgdzRMQcjkM6D77bF4Vt,ECR-USDC,0.17,0.17,0.0,11263733,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,FuemMjepntbzthvSEVmDGnfq7YWr8UebZrAXJrP46VtF,LIKE-WSOL,1.94,1.94,0.0,10911023,,0.49,-2.24,-38.96,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
kamino-lend,,EUSX,0.0,0.0,0.0,10658613,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
raydium-amm,DSUvc5qf5LJHHV5e2tD184ixotSnCnwj7i4jJa4Xsrmt,BOME-WSOL,17.73,17.73,0.0,10271527,,-8.84,14.71,11.3,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
bonk-staked-sol,,BONKSOL,5.47231,5.47231,0.0,10239452,,-0.00188,0.00638,-0.09075,https://icons.llamao.fi/icons/protocols/bonk-staked-sol,https://bonkcoin.com
orca-dex,6fteKNvMdv7tYmBoJHhj1jx6rHcEwC6RdSEmVpyS613J,SYRUPUSDC-USDC,0.34567,0.34567,0.0,10029427,,-2.18083,-1.79879,0.10853,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
kamino-liquidity,,SYRUPUSDC-USDC,0.24781,0.24781,0.0,10026470,,-1.85019,-1.56706,-7.47305,https://icons.llamao.fi/icons/protocols/kamino-liquidity,https://kamino.com/liquidity
raydium-amm,58oQChx4yWmvKdwLLZzBi4ChoCc2fqCUWBkwMihLYQo2,WSOL-USDC,25.69986,25.31,0.38986,9968501,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,0.93027,2.75282,-20.95746,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,BCDdHonby65iduz3Ev3c9v5XjNkzyu5e56KRFHpBM4T9,USD1-USDC,1.06,1.06,0.0,9899969,,0.69,0.62,-0.23,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
orca-dex,9R9nmGDRdLLwWjc9raRjaRoZZNXiXQBEPGFRj6SfSkPQ,PYUSD-PRIME,0.66495,0.66495,0.0,9670037,,0.46676,-0.13826,-2.09667,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
bitwise-uscc,,USCC,3.07986,3.07986,0.0,9423829,,0.33385,-0.63078,0.57975,https://icons.llamao.fi/icons/protocols/bitwise-uscc,https://superstate.com/
orca-dex,2e3WeM4WwdEqwTtRnWN3gJSbhNg1P6Aj2y7kEdfrYbix,USX-USDC,0.08347,0.08347,0.0,9404467,,0.03045,0.03664,-0.32767,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
kamino-lend,,BONKSOL,0.0,0.0,0.0,8957580,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
save,,DAI,0.0,0.0,0.0,7984370,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/save,https://www.save.finance/
kyros,,KYSOL,5.29598,5.29598,0.0,7584523,,-0.04181,-0.14377,-0.34777,https://icons.llamao.fi/icons/protocols/kyros,https://kyros.fi
marginfi-lst,,LST,5.57691,5.57691,0.0,7368454,,-0.03377,-0.09542,-0.2086,https://icons.llamao.fi/icons/protocols/marginfi,https://app.marginfi.com/stake
unitas-usdu,,SUSDU,10.00091,10.00091,0.0,7366740,,0.03365,0.23101,0.03013,https://icons.llamao.fi/icons/protocols/unitas-usdu,https://app.unitas.so
kamino-lend,,STKESOL,0.0,0.0,0.0,7246277,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
orca-dex,3wijQvPKm6jHQrAkfPpok5o8WjCWPm1DGG17NmeW8q1w,CASH-USDC,1.02858,1.02858,0.0,7170065,,0.66923,-0.0528,-0.33575,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
kamino-lend,,USDC,4.24113,4.24113,0.0,7092995,,0.07233,0.03441,-0.21009,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
kamino-lend,,USX,2.30636,2.30636,0.0,6967695,,0.00076,-0.01857,0.76193,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
jupiter-lend,,JLP,0.0,0.0,0.0,6777449,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/jupiter-lend,https://jup.ag/?ref=f6y1ryr2snn3
kamino-lend,,CASH,3.60481,3.60481,0.0,6759251,,-0.02942,0.2669,0.73552,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
raydium-amm,879F697iuDJGMevRkRcnW21fcXiAeLJK1ffsw2ATebce,MEW-WSOL,1.92,1.92,0.0,6528196,,0.7,0.31,-1.42,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
save,,USDC,2.3,2.3,0.0,6468457,,0.0,-0.14,-0.04,https://icons.llamao.fi/icons/protocols/save,https://www.save.finance/
kamino-lend,,BSOL,0.0,0.0,0.0,6317742,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
jupiter-lend,,PST,0.0,0.0,0.0,6214126,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/jupiter-lend,https://jup.ag/?ref=f6y1ryr2snn3
save,,JITOSOL,0.0,0.0,0.0,6066508,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/save,https://www.save.finance/
kamino-lend,,BSOL,0.01761,0.01761,0.0,6051504,,0.0,-0.00151,0.01227,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
raydium-amm,58oQChx4yWmvKdwLLZzBi4ChoCc2fqCUWBkwMihLYQo2,WSOL-USDC,44.95,44.95,0.0,6003438,,14.21,5.95,-49.53,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
orca-dex,Hp53XEtt4S8SvPCXarsLSdGfZBuUr5mMmZmX2DRNXQKp,SOL-JITOSOL,0.91725,0.91725,0.0,5961627,,0.61238,0.6386,0.22851,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
kamino-liquidity,,SOL-JITOSOL,0.82529,0.82529,0.0,5907984,,0.7197,0.58525,-0.74028,https://icons.llamao.fi/icons/protocols/kamino-liquidity,https://kamino.com/liquidity
orca-dex,7jhhyxPUKpu42hPGSYwgMXbR2dtVJHKhs8DW3sAAgAvX,ONYC-USDC,0.39948,0.39948,0.0,5872653,,0.00682,-1.59366,-0.11419,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
jupiter-lend,,JUPSOL,0.0,0.0,0.0,5692264,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/jupiter-lend,https://jup.ag/?ref=f6y1ryr2snn3
kamino-lend,,PSOL,0.00036,0.00036,0.0,5658660,,0.0,-0.00036,0.00014,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
raydium-amm,Bzc9NZfMqkXR6fz1DBph7BDf9BroyEf6pnzESP7v5iiw,WSOL-FARTCOIN,4.97,4.97,0.0,5647013,,0.89,1.81,-13.92,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
project-0,,JITOSOL,0.14822,0.14822,0.0,5630938,,-0.0001,-4e-05,0.0,https://icons.llamao.fi/icons/protocols/project-0,https://app.0.xyz
jupiter-lend,,PST,0.0,0.0,0.0,5566330,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/jupiter-lend,https://jup.ag/?ref=f6y1ryr2snn3
jupiter-lend,,USDS,5.27401,5.27401,0.0,5515267,USDSwr9ApdHk5bvJKMjzff41FfuX8bSxdKcR81vTwcA,-0.26348,0.88048,3.67134,https://icons.llamao.fi/icons/protocols/jupiter-lend,https://jup.ag/?ref=f6y1ryr2snn3
orca-dex,HxA6SKW5qA4o12fjVgTpXdq2YnZ5Zv1s7SB4FFomsyLM,CBBTC-USDC,46.0562,46.0562,0.0,5460581,,18.31576,19.03161,-21.469,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
jupiter-lend,,DFDVSOL,0.0,0.0,0.0,5307015,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/jupiter-lend,https://jup.ag/?ref=f6y1ryr2snn3
raydium-amm,CCvaLxr9EoDY3zMcgmvujrtNUQjYsWRoyY1n1PA4KiYD,USDC-BDAG,0.13,0.13,0.0,5158875,,0.08,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
save,,SOL,2.36,2.36,0.0,5056696,,-0.03,0.02,-0.51,https://icons.llamao.fi/icons/protocols/save,https://www.save.finance/
save,,STCC,0.0,0.0,0.0,5035363,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/save,https://www.save.finance/
jupiter-lend,,EURC,3.28258,3.28258,0.0,4878219,HzwqbKZw8HxMN6bF2yFZNrht3c2iXXzpKcFu7uBEDKtr,0.43284,-0.27922,0.87411,https://icons.llamao.fi/icons/protocols/jupiter-lend,https://jup.ag/?ref=f6y1ryr2snn3
raydium-amm,6jGjTUHEmCSDumwP9DEdNhdMsQntNh97MMzka4WPyvMY,JCT-USDC,0.14,0.14,0.0,4854160,,0.09,0.02,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
kamino-lend,,PYUSD,3.74572,3.74572,0.0,4704695,,-1.17875,-1.11576,0.33831,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
orca-dex,,EUSX-USX,0.10086,0.10086,0.0,4684213,,0.0257,0.02533,0.03225,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
orca-dex,CeaZcxBNLpJWtxzt58qQmfMBtJY8pQLvursXTJYGQpbN,SOL-CBBTC,36.73225,36.73225,0.0,4658316,,6.77728,6.58074,-51.00692,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
kamino-lend,,JSOL,0.0,0.0,0.0,4612888,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
kamino-lend,,PYUSD,3.55789,3.55789,0.0,4537189,,-0.39628,0.47945,1.01595,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
raydium-amm,BkvKpstxgeEJYzvFnWWuAbTDcrFMJBty3kXxUfGG9D7n,EUSX-USX,0.1,0.1,0.0,4535784,,0.03,0.03,0.04,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
jupiter-lend,,INF,0.0,0.0,0.0,4441337,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/jupiter-lend,https://jup.ag/?ref=f6y1ryr2snn3
kamino-lend,,USCC,0.0,0.0,0.0,4413325,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
raydium-amm,AaW2rG4UM4R8KTNY5qVoYV9RApbR9c98AqFd72DQ1MRs,USDC-AKE,0.13,0.13,0.0,4390275,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
jupiter-lend,,SPYX,2.02008,2.02008,0.0,4306386,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/jupiter-lend,https://jup.ag/?ref=f6y1ryr2snn3
raydium-amm,3bC2e2RxcfvF9oP22LvbaNsVwoS2T98q6ErCRoayQYdq,WSOL-JELLYJELLY,4.78,4.78,0.0,4204749,,-0.67,-2.93,-4.68,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
jupiter-lend,,INF,0.0,0.0,0.0,4204078,,0.0,0.0,0.0,https://icons.llamao.fi/icons/protocols/jupiter-lend,https://jup.ag/?ref=f6y1ryr2snn3
kamino-lend,,USDC,6.5508,6.5508,0.0,4180461,,-5.24164,0.64287,-3.18061,https://icons.llamao.fi/icons/protocols/kamino-lend,https://kamino.com/
raydium-amm,BZtgQEyS6eXUXicYPHecYQ7PybqodXQMvkjUbP4R8mUU,USDC-USDT,2.75,2.75,0.0,4108542,,-0.44,1.91,-1.27,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
orca-dex,,USDU-USDC,0.00484,0.00484,0.0,4096990,,-0.07884,-0.01054,-0.18607,https://icons.llamao.fi/icons/protocols/orca-dex,https://www.orca.so
kamino-liquidity,,USDU-USDC,0.0,0.0,0.0,4095805,,0.0,-0.07322,-0.44131,https://icons.llamao.fi/icons/protocols/kamino-liquidity,https://kamino.com/liquidity
raydium-amm,AQAGYQsdU853WAKhXM79CgNdoyhrRwXvYHX6qrDyC1FS,WSOL-USD1,20.82,20.82,0.0,4078292,,4.61,5.01,-38.81,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
raydium-amm,EP2ib6dYdEeqD8MfE2ezHCxX3kP3K2eLKkirfPm5eyMx,$WIF-WSOL,2.98,2.98,0.0,4044643,,0.8,0.15,-13.74,https://icons.llamao.fi/icons/protocols/raydium,https://raydium.io
